id,name,varietal,offers,avg_price,vivino_rating,vivino_url,notes
20390,"McWilliam's Fruitwood Red",Moscato,1,7.99,,,
20391,"Purple Flame Premium Brut NV",Champagne,1,26.99,,,
20392,"Veuve Clicquot Brut Yellow",Champagne,1,89.99,,,
20393,"Brown Brothers Moscato",Moscato,1,15.99,,,
20394,"Calappiano 18 Carat Prosecco DOC Brut NV 750ml",Champagne,1,22.99,,,
20395,"Oyster Bay Sauvignon Blanc",Sauvignon Blanc,1,19.99,,,
20396,"Moet & Chandon Nectar Imperial",Champagne,1,107.99,,,
20397,"Gossips Sweet Lips Pink Moscato",Moscato,1,6.99,,,
20398,"Moet & Chandon Imperial Brut",Champagne,1,74.99,,,
20399,"Pierre D’Amour Rose",Rose,1,17.99,,,
20400,"Brown Brothers Moscato Rose",Moscato Rose,1,15.99,,,
20401,"Moet & Chandon Ice Imperial",Champagne,1,98.99,,,
20402,"Tempus Two Copper Series Moscato",Moscato,1,24.99,,,
20403,"Cloudy Bay Sauvignon Blanc",Sauvignon Blanc,1,54.99,,,
20404,"McWilliams Fruitwood White",Moscato,1,7.99,,,
20405,"Inclination Sauvignon Blanc",Sauvignon Blanc,1,4.99,,,
20406,"Mumm Cordon Rouge Brut Champagne NV",Champagne,1,69.99,,,
20407,"Yellow Tail Moscato",Moscato,1,9.99,,,
20408,"Gossips Sweet Lips Mosacto",Moscato,1,6.99,,,
20409,"Penfolds Grandfather Rare Tawny 20 Year Old",Tawny Port,1,99.99,,,
20410,"Inclination Cabernet Merlot",Red Blend,1,4.99,,,
20411,"Yellow Tail Rose",Rose,1,9.99,,,
20412,"Brown Brothers Prosecco",Prosecco,1,16.99,,,
20413,"Brown Brothers Dolcetto & Syrah",Red Blend,1,15.99,,,
20414,"Moet & Chandon Rose Imperial",Champagne,1,109.99,,,
20415,"Oyster Bay Pinot Noir",Pinot Noir,1,22.99,,,
20416,"Penfolds Koonunga Hill Shiraz Cabernet",Red Blend,1,14.99,,,
20417,"Taylors Promised Land Shiraz Cabernet",Red Blend,1,15.99,,,
20418,"Moet & Chandon Grand Vintage",Champagne,1,134.99,,,
20419,"Da Luca Prosecco",Prosecco,1,18.99,,,
20420,"Inclination Chardonnay",Chardonnay,1,4.99,,,
20421,"The Orange Tree Pinot Grigio",Pinot Grigio,1,9.99,,,
20422,"Rumours Moscato",Moscato,1,69.99,,,
20423,"Matua Marlborough Sauvignon Blanc",Sauvignon Blanc,1,15.98,,,
20424,"Kings Of Prohibition Shiraz",Syrah/Shiraz,1,23.99,,,
20425,"Flinders Bay Sauvignon Blanc Semillon",White Blend,1,13.99,,,
20426,"Flinders Bay Sauvignon Blanc",Sauvignon Blanc,1,13.99,,,
20427,"Dom Perignon Vintage",Champagne,1,419.99,,,
20428,"Yellow Tail Pinot Grigio",Pinot Grigio,1,9.99,,,
20429,"Lindeman's Bin 90 Moscato",Moscato,1,7.99,,,
20430,"Ernest Rapeneau Brut Champagne",Champagne,1,52.99,,,
20431,"Penfolds Bin 128 Coonawarra Shiraz",Syrah/Shiraz,1,69.99,,,
20432,"Georg Jensen Hallmark Cuvée",Champagne,1,39.98,,,
20433,"Squealing Pig Pinot Gris",Pinot Gris,1,18.99,,,
20434,"Squealing Pig Sauvignon Blanc",Sauvignon Blanc,1,18.99,,,
20435,"Calappiano 18K Sparkling Pinot Noir Rose 750ml",Champagne,1,22.98,,,
20436,"Yellow Tail Sauvignon Blanc",Sauvignon Blanc,1,9.99,,,
20437,"Jacob's Creek Sparkling Moscato",Moscato,1,11.99,,,
20438,"Bollinger Special Cuvee Champagne",Champagne,1,109.99,,,
20439,"McGuigan Single Batch Project Cabernet Sauvignon",Cabernet Sauvignon,1,78.00,,,
20440,"Pepperjack Cabernet Sauvignon",Cabernet Sauvignon,1,22.99,,,
20441,"Peter Lehmann The Bond Shiraz",Syrah/Shiraz,1,22.99,,,
20442,"The Orange Tree Moscato",Moscato,1,9.99,,,
20443,"Luigi Cavalli Red Lambrusco",Lambrusco,1,11.99,,,
20444,"Jacob's Creek Sparkling Moscato Rose",Moscato,1,11.99,,,
20445,"Lindeman's Bin 50 Shiraz",Syrah/Shiraz,1,7.99,,,
20446,"Squealing Pig Sparkling Rose",Champagne,1,19.99,,,
20447,"Brown Brothers Moscato & Sauvignon Blanc",Moscato,1,15.99,,,
20448,"Archers Point Shiraz",Syrah/Shiraz,1,13.99,,,
20449,"Maison Fortant Rose De Provence",Rose,1,18.99,,,
20450,"McGuigan Single Batch Project Dry Rose",Rose,1,13.99,,,
20451,"Gossips Sweet Lips Syrah Dolcetto",Red Blend,1,6.99,,,
20452,"Rosemount Estate Traminer Riesling",Riesling,1,9.99,,,
20453,"Ta Ku Sauvignon Blanc",Sauvignon Blanc,1,15.99,,,
20454,"McGuigan Black Label Chardonnay",Chardonnay,1,9.99,,,
20455,"Omni Blue Moscato",Moscato,1,11.99,,,
20456,"Jacob's Creek Reserve Chardonnay Pinot Noir",Champagne,1,14.99,,,
20457,"My Place Cabernet Merlot",Red Blend,1,7.99,,,
20458,"Yellow Tail Chardonnay",Chardonnay,1,9.99,,,
20459,"Guillaume De Vergy Blanc De Blancs",Champagne,1,13.99,,,
20460,"Penfolds Max's Pinot Noir",Pinot Noir,1,32.99,,,
20461,"Lindeman’s Bin 85 Pinot Grigio",Pinot Grigio,1,7.99,,,
20462,"Annies Lane Semillon Sauvignon Blanc",White Blend,1,15.99,,,
20463,"Yellow Tail Sparkling Cuvee Rose",Champagne,1,9.99,,,
20464,"Jacob's Creek Classic Pinot Noir",Pinot Noir,1,8.99,,,
20465,"McGuigan Single Batch Project Pinot Noir",Pinot Noir,1,13.99,,,
20466,"McWilliam's Hanwood 5 Year Old Tawny",Tawny Port,1,19.99,,,
20467,"Pierre D’Amour Pinot Noir",Pinot Noir,1,17.99,,,
20468,"Cloudy Bay Pinot Noir",Pinot Noir,1,64.99,,,
20469,"Penfolds Bin 389 Cabernet Shiraz",Red Blend,1,99.88,,,
20470,"De Bortoli The Astronomer Cabernet Sauvignon",Cabernet Sauvignon,1,8.99,,,
20471,"Taylors Promised Land Shiraz",Syrah/Shiraz,1,15.99,,,
20472,"De Bortoli Winemaker Selection Shiraz",Syrah/Shiraz,1,9.99,,,
20473,"Grant Burge Miamba Shiraz",Syrah/Shiraz,1,21.99,,,
20474,"Jacob's Creek Classic Cabernet Merlot",Red Blend,1,8.99,,,
20475,"Flinders Bay Chardonnay",Chardonnay,1,13.99,,,
20476,"Chandon Vintage Brut",Champagne,1,48.99,,,
20477,"Pepperjack Shiraz",Syrah/Shiraz,1,22.99,,,
20478,"Penfolds Father 10 Year Old Grand Tawny",Tawny Port,1,44.99,,,
20479,"Taylors Estate Sauvignon Blanc",Sauvignon Blanc,1,15.99,,,
20480,"Brand's Laira Blockers Chardonnay",Chardonnay,1,18.99,,,
20481,"Wild Oats Sauvignon Blanc Semillon",White Blend,1,17.99,,,
20482,"Croser Non Vintage",Champagne,1,25.99,,,
20483,"Jacob's Creek Sparkling Rose",Champagne,1,14.99,,,
20484,"Brown Brothers Origins Series Merlot",Merlot,1,14.99,,,
20485,"Taylors Promised Land Pinot Noir",Pinot Noir,1,15.99,,,
20486,"Taylors Promised Land Cabernet Sauvignon",Cabernet Sauvignon,1,15.99,,,
20487,"Tempus Two Cabernet Sauvignon",Cabernet Sauvignon,1,11.99,,,
20488,"Penfolds Max's Shiraz Cabernet",Red Blend,1,32.99,,,
20389,"Purple Reign Classic White Blend",White Blend,1,26.99,,,
